date,user_id,session_id,traffic_source,page,bounce,exit_page,conversion
2025-05-01 00:00:00.000000000,4174,49233,Paid,/blog,1,0,0
2025-05-01 00:26:12.794558911,4507,20350,Paid,/product,0,0,0
2025-05-01 00:52:25.589117823,1860,40622,Organic,/,0,0,0
2025-05-01 01:18:38.383676735,2294,45323,Organic,/signup,0,0,1
2025-05-01 01:44:51.178235647,2130,12951,Social,/blog,0,0,0
2025-05-01 02:11:03.972794558,2095,27622,Paid,/pricing,0,0,0
2025-05-01 02:37:16.767353470,4772,14727,Organic,/signup,1,0,0
2025-05-01 03:03:29.561912382,4092,48454,Organic,/product,0,0,0
2025-05-01 03:29:42.356471294,2638,46469,Referral,/product,0,0,0
2025-05-01 03:55:55.151030206,3169,45548,Social,/signup,0,0,0
2025-05-01 04:22:07.945589117,1466,33782,Organic,/signup,0,1,0
2025-05-01 04:48:20.740148029,2238,38454,Organic,/pricing,0,1,0
2025-05-01 05:14:33.534706941,1330,12368,Organic,/,0,1,0
2025-05-01 05:40:46.329265853,2482,25592,Referral,/,0,1,1
2025-05-01 06:06:59.123824764,3135,32173,Paid,/blog,1,0,0
2025-05-01 06:33:11.918383676,4444,43204,Paid,/product,0,1,1
2025-05-01 06:59:24.712942588,4171,45596,Paid,/signup,1,1,0
2025-05-01 07:25:37.507501500,3919,44324,Organic,/checkout,0,0,1
2025-05-01 07:51:50.302060412,4735,33864,Social,/signup,1,0,0
2025-05-01 08:18:03.096619323,1130,40750,Paid,/product,0,0,0
2025-05-01 08:44:15.891178235,2685,20576,Organic,/signup,0,1,0
2025-05-01 09:10:28.685737147,4380,26566,Organic,/product,0,0,0
2025-05-01 09:36:41.480296059,1769,17190,Paid,/,1,1,0
2025-05-01 10:02:54.274854971,3391,33071,Referral,/,0,0,0
2025-05-01 10:29:07.069413882,2515,48333,Organic,/product,0,0,0
2025-05-01 10:55:19.863972794,4485,25369,Referral,/checkout,0,0,0
2025-05-01 11:21:32.658531706,3853,34035,Social,/,0,1,0
2025-05-01 11:47:45.453090618,3433,11589,Organic,/,0,0,0
